page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0014	EA1011	001	Seven Kings to Ipswich LTN Anglia	05/08/06	GOODMAYES	9	23		9.23
0014	EA1011	001	Seven Kings to Ipswich LTN Anglia	05/08/06		9	57	*	9.57
0015	EA1011	002	Seven Kings to Ipswich LTN Anglia	05/08/06	CHADWELL HEATH	9	79		9.79
0015	EA1011	002	Seven Kings to Ipswich LTN Anglia	05/08/06	OHNS	11	21		11.21
0015	EA1011	002	Seven Kings to Ipswich LTN Anglia	05/08/06	OHNS	11	26		11.26
0015	EA1011	002	Seven Kings to Ipswich LTN Anglia	05/08/06		11	41	*	11.41
0016	EA1011	003	Seven Kings to Ipswich LTN Anglia	05/08/06		11	78	*	11.78
0016	EA1011	003	Seven Kings to Ipswich LTN Anglia	05/08/06		12	15	*	12.15
0017	EA1011	004	Seven Kings to Ipswich LTN Anglia	05/08/06	ROMFORD	12	30		12.30
0017	EA1011	004	Seven Kings to Ipswich LTN Anglia	05/08/06	Romford Jn .	12	39		12.39
0017	EA1011	004	Seven Kings to Ipswich LTN Anglia	05/08/06		13	28	*	13.28
0017	EA1011	004	Seven Kings to Ipswich LTN Anglia	05/08/06	GIDEA PARK	13	41		13.41
0017	EA1011	004	Seven Kings to Ipswich LTN Anglia	05/08/06		13	54	*	13.54
0018	EA1011	005	Seven Kings to Ipswich LTN Anglia	22/07/07		13	55	*	13.55
0018	EA1011	005	Seven Kings to Ipswich LTN Anglia	22/07/07		13	68	*	13.68
0018	EA1011	005	Seven Kings to Ipswich LTN Anglia	22/07/07	Gidea Park Carriage sidings	14	03		14.03
0018	EA1011	005	Seven Kings to Ipswich LTN Anglia	22/07/07		14	15	*	14.15
0019	EA1011	006	Seven Kings to Ipswich LTN Anglia	05/08/06	OHNS	14	45		14.45
0019	EA1011	006	Seven Kings to Ipswich LTN Anglia	05/08/06	HAROLD WOOD	14	76		14.76
0019	EA1011	006	Seven Kings to Ipswich LTN Anglia	05/08/06		15	07	*	15.07
0019	EA1011	006	Seven Kings to Ipswich LTN Anglia	05/08/06	BRENTWOOD	18	16		18.16
0019	EA1011	006	Seven Kings to Ipswich LTN Anglia	05/08/06		18	24	*	18.24
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		19	45		19.45
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		19	57		19.57
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		19	63	*	19.63
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		19	73	*	19.73
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		19	74	*	19.74
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		20	00	*	20.00
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		20	03	*	20.03
0020	EA1011	007	Seven Kings to Ipswich LTN Anglia	05/08/06		20	05	*	20.05
0021	EA1011	008	Seven Kings to Ipswich LTN Anglia	25/03/08	SHENFIELD	20	16		20.16
0021	EA1011	008	Seven Kings to Ipswich LTN Anglia	25/03/08	Shenfield Jn	20	22		20.22
0021	EA1011	008	Seven Kings to Ipswich LTN Anglia	25/03/08	Shenfield Middle Sidings	20	22	X	20.22
0021	EA1011	008	Seven Kings to Ipswich LTN Anglia	25/03/08		20	40	*	20.40
0021	EA1011	008	Seven Kings to Ipswich LTN Anglia	25/03/08		20	47	*	20.47
0021	EA1011	008	Seven Kings to Ipswich LTN Anglia	25/03/08		20	50	*	20.50
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06	OHNS	20	71		20.71
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06		23	10	*	23.10
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06	Ingatestone LC	23	39	MCB	23.39
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06	(supervised by Ingatestene Gate Box.)	23	39	X	23.39
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06	INGATESTONE	23	50		23.50
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06		24	60		24.60
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06	Church Lane LC	24	68	CCTV	24.68
0022	EA1011	009	Seven Kings to Ipswich LTN Anglia	05/08/06	(supervised by Ingatestone Gate Box.)	24	68	X	24.68
0023	EA1011	010	Seven Kings to Ipswich LTN Anglia	30/09/06	Margaretting WHEELCHEX	24	75		24.75
0023	EA1011	010	Seven Kings to Ipswich LTN Anglia	30/09/06		25	30	*	25.30
0023	EA1011	010	Seven Kings to Ipswich LTN Anglia	30/09/06	Margaretting FP LC	25	39	RIG	25.39
0023	EA1011	010	Seven Kings to Ipswich LTN Anglia	30/09/06		26	40	*	26.40
