page	route	sequence	name	date	location	miles	chains	restriction
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08	Mansfield Jn	125	64	
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08		124	22	
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08	Lenton Norlh Jn	124	56	
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08		125	50	*
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08	Radford Jn	125	55	GF
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08		126	03	*
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08	Moor Farm LC	128	72	UWC
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08		130	37	*
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08	Trowell South Jn	130	51	
0205	LN3252	001	Mansfield Jn to Trowell South Jn MJT London North Eastern	23/09/08		125	04	
