page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0130	LN3201	001	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	ST. PANCRAS	0	12		0.12
0130	LN3201	001	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		0	24	*	0.24
0130	LN3201	001	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		0	38	*	0.38
0131	LN3201	002	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Dock Jn South	0	59		0.59
0131	LN3201	002	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Dock Jn Norlh	0	76		0.76
0131	LN3201	002	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Camden Road Tunnels	0	79		0.79
0131	LN3201	002	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(281 metres! 308 yards) to	1	13		1.13
0131	LN3201	002	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		1	14	*	1.14
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	KENTISH TOWN	1	42		1.42
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		1	48	*	1.48
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Kentish Town Jn	1	65	*	1.65
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Hampstead Tunnel	1	74		1.74
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(40m I 44 YdS)	1	76		1.76
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		2	00	*	2.00
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Carlton Road Jn	2	13		2.13
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Lismore Circus Tunnel	2	17		2.17
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(101m 110Yds)	2	22		2.22
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		2	20	*	2.20
0132	LN3201	003	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		2	23	*	2.23
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Belsize Tunnels	2	29		2.29
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(1707m I 1 mile 107'de on slow lines) (slow lines)	2	29	X	2.29
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(1619m [1 mile 11yds on fast lines)	2	33		2.33
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(fast lines)	2	33	X	2.33
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	to	3	34		3.34
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		3	35	*	3.35
0133	LN3201	004	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	West Hampstead South Jn	3	53		3.53
0134	LN3201	005	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		3	70	*	3.70
0134	LN3201	005	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	WEST HAMPSTEAD THAMESLINK	3	73		3.73
0134	LN3201	005	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	West Hampstead P.S. Box (WH)	4	00	*	4.00
0134	LN3201	005	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	West Hampstead North Jn	4	09		4.09
0134	LN3201	005	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		4	39	*	4.39
0135	LN3201	006	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Cricklewood South Jn	4	68		4.68
0135	LN3201	006	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	GRIGKLEWOOD	5	09		5.09
0135	LN3201	006	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Cricklewood Curve Jn	5	19		5.19
0135	LN3201	006	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		5	20	*	5.20
0135	LN3201	006	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		5	27	*	5.27
0135	LN3201	006	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		5	30	*	5.30
0136	LN3201	007	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		5	40	*	5.40
0136	LN3201	007	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Cricklewood Depot Jn	5	63		5.63
0136	LN3201	007	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Cricklewood SB	5	63	X	5.63
0136	LN3201	007	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Brent Curve Jn	6	04		6.04
0136	LN3201	007	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		6	10	*	6.10
0137	LN3201	008	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Cricklewood Maintenance Depot GF	6	20		6.20
0137	LN3201	008	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		6	40	*	6.40
0137	LN3201	008	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	HENDON	6	79		6.79
0137	LN3201	008	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	06	*	7.06
0137	LN3201	008	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	33	*	7.33
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	50	*	7.50
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	60	*	7.60
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	68	*	7.68
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Silkstream Jn	7	72		7.72
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08		7	75	*	7.75
0138	LN3201	009	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	OHNS	8	29		8.29
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	MILL HILL BROADWAY	9	28		9.28
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	Elstree Tunnels 11tO38 *-	9	28	X	9.28
0139	LN3201	010	St. Pancras to Tapton Jn (via Derby) SPC1 London North Eastern	30/08/08	(967 metres! 1058 yards)	12	06		12.06
