page	route	sequence	name	date	location	miles	chains	restriction
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07	Hooton South Jn	7	68	
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07		0	02	
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07		0	10	*
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07		0	60	*
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07	LITTLE SUTPON	1	47	
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07	OVERPOOL	2	28	
0125	NW3013	001	Hooton South Jn. to Helsby Jn. HHJ LNW North	16/06/07		3	37	
0126	NW3013	002	Hooton South Jn. to Helsby Jn. HHJ LNW North	07/10/06	ELLESMERE PORT	3	44	
0126	NW3013	002	Hooton South Jn. to Helsby Jn. HHJ LNW North	07/10/06	Ellesmere Port SB	3	70	EP
0126	NW3013	002	Hooton South Jn. to Helsby Jn. HHJ LNW North	07/10/06		4	30	
0128	NW3013	004	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08	STANLOW & THORNTON	5	67	
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08	INCE6ELTON	6	66	
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08	|nce&Elton LC	6	69	R!G
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08		7	65	*
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08		6	10	*
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08	HELSBY	6	60	
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08	Helsby Junction SB	8	61	
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08	Helsby Jn	8	67	
0129	NW3013	005	Hooton South Jn. to Helsby Jn. HHJ LNW North	11/02/08		7	40	
