page	route	sequence	name	date	location	miles	chains	restriction
0304	SC147	001	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06	BERWICK	67	00	
0304	SC147	001	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		67	06	*
0304	SC147	001	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		67	69	*
0304	SC147	001	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06	No 203 LC	63	52	RIG
0304	SC147	001	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		69	00	*
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07	OHNS	69	17	
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07	Territory Boundary	69	67	*
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07		54	50	
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07		50	08	*
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07		49	09	*
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07	Reston GSP	47	14	
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07	Reston Up GF	46	22	
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07	OHNS			Z
0305	SC147	002	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	19/11/07		45	34	*
0306	SC147	003	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		43	30	*
0306	SC147	003	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		42	41	*
0306	SC147	003	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06	Grantshouse	41	14	
0306	SC147	003	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06	Up Sidings GF	41	08	
0307	SC147	004	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		39	78	*
0307	SC147	004	Berwick to Haymarket West Jn (Via Waverley) ECM8 Scotland	02/12/06		39	40	*
