page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07	Walsh's Bridge	117	56		117.56
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07	Rose Street LC	117	71	CCTV	117.71
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07	Invemess T03 and RETB SC	117	77	I	117.77
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07		118	01		118.01
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07		0	18		0.18
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07	(North lines only)	0	18	X	0.18
0447	SC203	001	Inverness to Wick HGL2 RSW WCK Scotland	01/12/07	INVERNESS	118	03		118.03
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06		0	41	*	0.41
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06		46	46		46.46
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06	Signal I430	0	47		0.47
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06		0	60	*	0.60
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06	Clachnaharry Down Stop Signal	1	12		1.12
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06		1	45	*	1.45
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06	Clachnahany Canal Bridge	1	46		1.46
0448	SC203	002	Inverness to Wick WCK Scotland	02/12/06		1	50	*	1.50
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Bruichnain LC	2	63	UWC	2.63
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Bullocks LC	2	73	UWC	2.73
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Bunchrew Farm LC	3	10	UWC	3.10
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Bunchrew LC	3	58	AOCL	3.58
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09		5	01	*	5.01
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Lentran Station LC	5	64	UWC	5.64
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Groam Farm South LC	7	29	UWC	7.29
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Groam Farm LC	7	41	UWC	7.41
0449	SC203	003	Inverness to Wick WCK Scotland	23/03/09	Clunes TEP	7	51		7.51
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06		8	75	*	8.75
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06	Beauly Ferry LC	9	29	UWC	9.29
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06		9	36	*	9.36
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06	BEAULY	10	12		10.12
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06		10	61	*	10.61
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06		11	00	*	11.00
0450	SC203	004	Inverness to Wick WCK Scotland	02/12/06	Wellhouse LC	11	10	UWC	11.10
0451	SC203	005	Inverness to Wick WCK Scotland	08/09/08	Sdgs GF's			X	.
0451	SC203	005	Inverness to Wick WCK Scotland	08/09/08	MUIR OF ORD TEP	13	04		13.04
0451	SC203	005	Inverness to Wick WCK Scotland	08/09/08	Chapelton Farm LC	13	53	UWC	13.53
0451	SC203	005	Inverness to Wick WCK Scotland	08/09/08	Keepers House LC	15	54	UWC	15.54
0451	SC203	005	Inverness to Wick WCK Scotland	08/09/08	Riverford LC	16	14	UWC	16.14
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06		16	53	*	16.53
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06		17	02	*	17.02
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	Maryburgh LC	17	15	UWC	17.15
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	Kildun No1 LC	17	51	UWC	17.51
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	Pitglassie South LC	18	10	UWC	18.10
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	Pitglassie Field LC	18	23	UWC	18.23
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	Pitglassie North LC	18	29	UWC	18.29
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	Sdg GF	18	29	X	18.29
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06	DINGWALL TEP	18	58		18.58
0452	SC203	006	Inverness to Wick WCK Scotland	02/12/06		18	76	*	18.76
0453	SC203	007	Inverness to Wick WCK Scotland	02/12/06	Dingwall Canal North LC	19	03	UWC	19.03
