page	route	sequence	name	date	location	miles	chains	restriction	miles.chains
0008	SW105	001	Clapham Junction to Weymouth BML1 Wessex	02/12/06	CLAPHAM JUNCTION	03	74		03.74
0008	SW105	001	Clapham Junction to Weymouth BML1 Wessex	02/12/06		04	00	*	04.00
0008	SW105	001	Clapham Junction to Weymouth BML1 Wessex	02/12/06		04	15	*	04.15
0009	SW105	002	Clapham Junction to Weymouth BML1 Wessex	02/12/06	EARLSFIELD	05	46		05.46
0009	SW105	002	Clapham Junction to Weymouth BML1 Wessex	02/12/06	Staff Halt	06	28		06.28
0010	SW105	003	Clapham Junction to Weymouth PPW BML1 Wessex	21/02/09		07	03	*	07.03
0010	SW105	003	Clapham Junction to Weymouth PPW BML1 Wessex	21/02/09	WIMBLEDON	07	19		07.19
0010	SW105	003	Clapham Junction to Weymouth PPW BML1 Wessex	21/02/09		03	47		03.47
0011	SW105	004	Clapham Junction to Weymouth BML1 SMSZ Wessex	02/12/06		07	30	*	07.30
0011	SW105	004	Clapham Junction to Weymouth BML1 SMSZ Wessex	02/12/06	Wimbledon SB	07	49	W	07.49
0011	SW105	004	Clapham Junction to Weymouth BML1 SMSZ Wessex	02/12/06	Wimbledon West Jn	07	49	X	07.49
0012	SW105	005	Clapham Junction to Weymouth BML1 RPE Wessex	29/03/08	HAYNES PARK	08	51		08.51
0012	SW105	005	Clapham Junction to Weymouth BML1 RPE Wessex	29/03/08		08	66	*	08.66
0012	SW105	005	Clapham Junction to Weymouth BML1 RPE Wessex	29/03/08		08	68	*	08.68
0013	SW105	006	Clapham Junction to Weymouth NMS1 BML1 Wessex	02/12/06	NEW MALDEN	09	62	*	09.62
0013	SW105	006	Clapham Junction to Weymouth NMS1 BML1 Wessex	02/12/06		10	00	*	10.00
0013	SW105	006	Clapham Junction to Weymouth NMS1 BML1 Wessex	02/12/06	BERRYLANDS	10	78		10.78
0013	SW105	006	Clapham Junction to Weymouth NMS1 BML1 Wessex	02/12/06	Berrylands Jn	11	19		11.19
0014	SW105	007	Clapham Junction to Weymouth BML1 Wessex	02/12/06		11	50	*	11.50
0014	SW105	007	Clapham Junction to Weymouth BML1 Wessex	02/12/06		11	60	*	11.60
0014	SW105	007	Clapham Junction to Weymouth BML1 Wessex	02/12/06	SURBITON	12	03		12.03
0014	SW105	007	Clapham Junction to Weymouth BML1 Wessex	02/12/06		12	10	*	12.10
0014	SW105	007	Clapham Junction to Weymouth BML1 Wessex	02/12/06		12	40	*	12.40
0015	SW105	008	Clapham Junction to Weymouth BML1 HAM Wessex	02/12/06		13	06	*	13.06
0015	SW105	008	Clapham Junction to Weymouth BML1 HAM Wessex	02/12/06	Hampton Court Jn	13	27		13.27
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06		13	40	*	13.40
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06		13	42	*	13.42
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06		13	70	*	13.70
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06	ESHER	14	31		14.31
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06		15	20	*	15.20
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06		15	50	*	15.50
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06	HERSHAM	15	73		15.73
0016	SW105	009	Clapham Junction to Weymouth BML1 Wessex	02/12/06	WALTON-ON-THAMES	17	06		17.06
0017	SW105	010	Clapham Junction to Weymouth BML1 VWW Wessex	22/03/08		18	40	*	18.40
0017	SW105	010	Clapham Junction to Weymouth BML1 VWW Wessex	22/03/08		18	70	*	18.70
0017	SW105	010	Clapham Junction to Weymouth BML1 VWW Wessex	22/03/08	WEYBRIDGE	19	12		19.12
0018	SW105	011	Clapham Junction to Weymouth VWW BML1 Wessex	02/12/06	Byfleet Jn	20	23		20.23
0018	SW105	011	Clapham Junction to Weymouth VWW BML1 Wessex	02/12/06		00	71		00.71
